handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_68a87ee4-6d92-25b3-0c60-5ae36876680d,Variant,,,,,0001,,,0.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68a87ee4-6d92-25b3-0c60-5ae36876680d,Variant,,,,,00012,,,-314.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4d2c8fd5-a839-b4b3-4bba-79dc457903d3,Product,Cosmic Garden Pendant,<p>Find more inner peace with this Sterling Silver calm Cosmic garden pendant. Also available &nbsp;14k Yellow or White Gold.</p>,cf69e4_a045ab45261e4427b335501cab0a0f72~mv2.jpg,Pendants,0002,,189.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,RETURN AND REFUND POLICY,"<p>Refunds available for pieces returned in original condition within 30 days.</p>
",,,,,,,,,,,,,,,,
product_4d2c8fd5-a839-b4b3-4bba-79dc457903d3,Variant,,,,,00021,,,1506.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4d2c8fd5-a839-b4b3-4bba-79dc457903d3,Variant,,,,,0002,,,1506.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4d2c8fd5-a839-b4b3-4bba-79dc457903d3,Variant,,,,,00022,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_253cda98-05f9-8f4c-6176-cfaaf096fcbc,Product,Sparkle Stack Ring,<p>Add some sparkle to your stack of rings! 14k white gold with .17 Ct TW of diamonds. Can be worn as a wedding band or with other rings to make a stack of fun on your finger!</p>,cf69e4_0e56ee4931354f2a8e63e344f79d288f~mv2.jpg;cf69e4_9f9473235d6049afa3f6ee8bfe3529cb~mv2.jpg;cf69e4_9d8b066c5d794315beda41b360542fc0~mv2.jpg,Rings,0003,,599.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58bd1bda-1c58-2d1c-e383-963623e546a7,Product,My Many Sides Ring,<p>Are you many things for many people? This ring is too! In Sterling Silver size 6 1/2. Stack it with other bands or wear it alone. Order in 14K Yellow or 14K White and wear as an accent ring or a wedding band or wear with your engagement ring! Other sizes and widths available.</p>,cf69e4_72597c398c9042988b27017aa086b8a4~mv2.jpg;cf69e4_7c325cfc359349e2886f67b210979589~mv2.jpg,Rings,0004,,49.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58bd1bda-1c58-2d1c-e383-963623e546a7,Variant,,,,,,,,190.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58bd1bda-1c58-2d1c-e383-963623e546a7,Variant,,,,,,,,190.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58bd1bda-1c58-2d1c-e383-963623e546a7,Variant,,,,,,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a4e8f964-68de-93a7-6084-572f2cb81207,Product,Exclamation Point Ring,"<p>Bring a little excitement to your life! Add some serious sparle to you days and nights with this beautiful 14K&nbsp;</p><p>Yellow ring with .50 CT TW of stunning diamonds. Size 61/2, other sizes available. Also comes in 14K White Gold or Sterling Silver with CZ's</p>",cf69e4_cac51a85aba040409e2dd92a62d1c42c~mv2.jpg;cf69e4_60825bfd7c67402b8af01832bf4c7db7~mv2.jpg;cf69e4_8ee1b57a1e0a442188b08b08c25abc0e~mv2.jpg,Rings,0005,,1849.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a4e8f964-68de-93a7-6084-572f2cb81207,Variant,,,,,00051,,,0.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a4e8f964-68de-93a7-6084-572f2cb81207,Variant,,,,,0005,,,0.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a4e8f964-68de-93a7-6084-572f2cb81207,Variant,,,,,00052,,,-1720.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b256af90-a749-d29c-3fc0-a279309fb28c,Product,Lotus Pendant,<p>Breathe deep and experience inner calm as you contemplate the timeless design of the lotus. Also available in 14K Yellow&nbsp; or 14K White Gold.</p>,cf69e4_6e83778a96f14d3f9deef9a316459c9c~mv2.jpg;cf69e4_54ffae86091948dfac9fb9c64dd29ea4~mv2.jpg;cf69e4_ccaa56b075144ed0b36016f06cfd1d4e~mv2.jpg,Pendants,0006,,99.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b256af90-a749-d29c-3fc0-a279309fb28c,Variant,,,,,00061,,,300.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b256af90-a749-d29c-3fc0-a279309fb28c,Variant,,,,,0006,,,300.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b256af90-a749-d29c-3fc0-a279309fb28c,Variant,,,,,00062,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bebf6e85-f894-5ae4-f1b3-532a6c4ec2be,Product,Lotus earrings,<p>Small disc earrings in Sterling Silver to wear all day and all night! Timeless lotus design will never go out of style. Simple center post and clutchback construction keeps you lobes covered. Also available in 14K Yellow or White Gold.</p>,cf69e4_b6f4e812c452481e8bd87932c0530fa5~mv2.jpg,Earrings,0007,,89.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bebf6e85-f894-5ae4-f1b3-532a6c4ec2be,Variant,,,,,00071,,,280.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bebf6e85-f894-5ae4-f1b3-532a6c4ec2be,Variant,,,,,0007,,,280.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bebf6e85-f894-5ae4-f1b3-532a6c4ec2be,Variant,,,,,00072,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45fb4491-4574-9012-a82f-eafa8d9ebc62,Product,Whirlagig Earrings,<p>Whimsical open shape brings interest to your lobes! Simple post and clutchback construction. Available in 14K Yellow or White Gold</p>,cf69e4_08dac6e1b3b04f58b7ebf728f619a318~mv2.jpg;cf69e4_797bbb04041e463bab2068d49f44b069~mv2.jpg,Earrings,0008,,99.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45fb4491-4574-9012-a82f-eafa8d9ebc62,Variant,,,,,00081,,,170.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45fb4491-4574-9012-a82f-eafa8d9ebc62,Variant,,,,,0008,,,170.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45fb4491-4574-9012-a82f-eafa8d9ebc62,Variant,,,,,00082,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c41eca2f-db7d-0dbc-956f-6be3ffadf9a1,Product,Chakra pendant,<p>Ah the infinite and cyclicle nature of energy! Remind yourself there will always be more good things in our future with time when contemplating this pendant of chakra symbols. Also available in 14K Yellow or White Gold.</p>,cf69e4_febffe6789bf4baba1a3f35e13acacef~mv2.jpg,Pendants,0009,,149.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c41eca2f-db7d-0dbc-956f-6be3ffadf9a1,Variant,,,,,00091,,,1100.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c41eca2f-db7d-0dbc-956f-6be3ffadf9a1,Variant,,,,,0009,,,1100.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c41eca2f-db7d-0dbc-956f-6be3ffadf9a1,Variant,,,,,00092,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
